,occSch.occupied,modCon.y,senSupFlo.V_flow,TSup.T,conAHU.TSupSet,chi.TSet,iceTan.TOutSet,TCHWSup.T,TCHWRetCoi.T,conVAVCor.TZon,conVAVSou.TZon,conVAVEas.TZon,conVAVNor.TZon,conVAVWes.TZon,iceTan.SOC,TOut.y,weaBus.TWetBul,chi.on,iceTan.stoCon.y,chi.P,priPum.P,secPum.P,fanSup.P
18579960.0,0.0,1.0,0.0008044702462726814,293.18809605792666,294.15,283.15,283.15,293.15,293.15,297.29132787121637,297.35381290753674,297.2931145160363,297.29181223982135,297.3550440106801,0.5,299.1458272727273,297.16202616214366,0.0,1.0,0.0,0.0,0.0,-4.7329837990008514e-08
18580020.0,0.0,1.0,0.0008046990861940689,293.1880063340651,294.15,283.15,283.15,293.15,293.15,297.2918417547884,297.35330460741676,297.2940395963501,297.29275404462,297.3558000194906,0.5,299.11559440235686,297.13308205002676,0.0,1.0,0.0,0.0,0.0,-4.735676890042292e-08
18580080.0,0.0,1.0,0.0008049614260108199,293.1879188197237,294.15,283.15,283.15,293.15,293.15,297.292336510217,297.35266788905494,297.2949161775007,297.2936483866648,297.3564660800974,0.5,299.0820754208754,297.10099228036006,0.0,1.0,0.0,0.0,0.0,-4.73876516537902e-08
18580140.0,0.0,1.0,0.0008052632870506699,293.18783586123766,294.15,283.15,283.15,293.15,293.15,297.29279618115606,297.35177397616,297.29569140112443,297.29444359571085,297.3569501688864,0.5,299.04541704545454,297.0658974268544,0.0,1.0,0.0,0.0,0.0,-4.742319931730668e-08
18580200.0,0.0,1.0,0.0008056345265039052,293.1877575021851,294.15,283.15,283.15,293.15,293.15,297.2932168962295,297.35061039664345,297.29636555353534,297.2951397649713,297.3572471836974,0.5,299.005765993266,297.0279380660566,0.0,1.0,0.0,0.0,0.0,-4.7466935374892104e-08
18580260.0,0.0,1.0,0.0008060490298083577,293.1876817806493,294.15,283.15,283.15,293.15,293.15,297.29361899125814,297.3492757724401,297.2969798918399,297.29577714458657,297.3574338860668,0.5,298.96326898148146,296.987254775731,0.0,1.0,0.0,0.0,0.0,-4.7515792205567756e-08
18580320.0,0.0,1.0,0.0008065286498753594,293.18760777506026,294.15,283.15,283.15,293.15,293.15,297.294009881454,297.3478271350785,297.29755591277757,297.296376868942,297.3575462558223,0.5,298.9180727272727,296.94398813332407,0.0,1.0,0.0,0.0,0.0,-4.757235560847167e-08
18580380.0,0.0,1.0,0.0008071688947193539,293.1875370837839,294.15,283.15,283.15,293.15,293.15,297.29439296818225,297.3460906852265,297.2980569707646,297.29690218100245,297.3575032476854,0.5,298.8703239478114,296.89827871451104,0.0,1.0,0.0,0.0,0.0,-4.764791453758181e-08
18580440.0,0.0,1.0,0.0008078760630066828,293.18746785076144,294.15,283.15,283.15,293.15,293.15,297.29476959708336,297.3442286334915,297.2985254096049,297.2973951273827,297.35739179444533,0.5,298.82016936026935,296.85026709182813,0.0,1.0,0.0,0.0,0.0,-4.773144116971766e-08
18580500.0,0.0,1.0,0.0008088662125909155,293.18740197776924,294.15,283.15,283.15,293.15,293.15,297.2951552771311,297.34199555376136,297.2989181960914,297.29781197782,297.35711044908385,0.5,298.7677556818182,296.80009383338825,0.0,1.0,0.0,0.0,0.0,-4.7848514834332904e-08
